en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
tetanus vaccine,破傷風ワクチン,medication,医薬品,vaccines used to prevent tetanus,破傷風の予防に用いられる不活化ワクチン,Q5861101
cajeput oil,カヤプテ油,medication,医薬品,chemical compound,,Q857162
tranylcypromine,トラニルシプロミン,medication,医薬品,racemic mixture,,Q420885
erythropoiesis-stimulating agent,赤血球生成促進剤,medication,医薬品,medicine that stimulates red blood cell production,,Q1363798
packed red blood cell,血液バッグ,medication,医薬品,red blood cells separated for blood transfusion,,Q1363810
mineralocorticoid,鉱質コルチコイド,medication,医薬品,group of corticosteroids primarily associated with water and electrolyte balance,,Q422519
selenium disulfide,二硫化セレン,medication,医薬品,mixture of selenium sulfides,,Q419375
kanamycin (extract),カナマイシン,medication,医薬品,drug; extract from Streptomyces kanamyceticus,,Q421951
budesonide/formoterol,ブデソニド・ホルモテロール,medication,医薬品,combination formulation containing budesonide and formoterol used in the management of asthma and chronic obstructive pulmonary disease,,Q863389
Hib vaccine,Hibワクチン,medication,医薬品,vaccine,,Q368134
sulfadoxine/pyrimethamine,スルファドキシン／ピリメサミン,medication,医薬品,combination drug,,Q7636174
renin inhibitor,レニン阻害剤,medication,医薬品,drug for volume regulation,,Q409255
Barium sulfate suspension,硫酸バリウム懸濁液,medication,医薬品,contrast agent used during X-rays,,Q4860832
placebo,偽薬,medication,医薬品,substance or treatment of no therapeutic value,医学上有効な成分が入っていない薬,Q269829
heparin,ヘパリン,medication,医薬品,medication which is used as an anticoagulant (blood thinner),抗凝固剤（血液凝固阻止剤）として使用される薬剤,Q190016
yellow fever vaccine,黄熱ワクチン,medication,医薬品,vaccine that protects against yellow fever,黄熱の予防に用いるワクチン,Q8051876
ivermectin,イベルメクチン,medication,医薬品,antiparasite medication,経口駆虫剤のひとつ,Q415178
activated carbon,活性炭,medication,医薬品,"form of carbon processed to have small, low-volume pores that increase the surface area",,Q190878
chondroitin sulfate,コンドロイチン硫酸,medication,医薬品,class of compounds; sulfated glycosaminoglycan,化合物のクラス,Q408014
Hepatitis B vaccine,B型肝炎ワクチン,medication,医薬品,vaccine against Hepatitis B,B型肝炎を予防するワクチン,Q117749
sedative,鎮静薬,medication,医薬品,"a drug that subdues excitement and calms the subject without inducing sleep, though drowsiness may be produced",,Q847705
bleomycin,ブレオマイシン,medication,医薬品,"pharmaceutical drug, mixture of Bleomycin A2, and B2",,Q415571
rotavirus vaccine,ロタウイルスワクチン,medication,医薬品,type of vaccine,ロタウイルスの感染を防ぐために用いられるワクチン,Q4411598
lamivudine/zidovudine,コンビビル配合錠,medication,医薬品,mixture of chemical compounds,,Q6482030
etonogestrel birth control implant,エトノゲストレル避妊インプラント,medication,医薬品,birth control device,,Q1371645
influenza vaccine,インフルエンザワクチン,medication,医薬品,vaccine against influenza,インフルエンザの予防薬,Q383260
pneumococcal vaccine,肺炎球菌ワクチン,medication,医薬品,vaccine to prevent infection by the bacterium Stretococcus pneumoniae,肺炎レンサ球菌に対するワクチン,Q14538008
diphtheria antitoxin,ジフテリア抗毒素,medication,医薬品,medication made up of antibodies,,Q15893399
parathyroid hormone,パラトルモン,medication,医薬品,mammalian protein found in Homo sapiens,,Q202476
gentamicin,ゲンタマイシン,medication,医薬品,pharmaceutic extract of Micromonospora purpurea,アミノグリコシド系抗生物質の一つ,Q422482
merestinib,メレスチニブ,medication,医薬品,chemical compound,,Q27262653
diaphragm,ペッサリー,medication,医薬品,cervical barrier type of birth control,,Q754926
combined oral contraceptive pill,経口避妊薬,medication,医薬品,birth control method that includes a combination of an estrogen (estradiol) and a progestogen (progestin),避妊効果の得られる女性ホルモン剤,Q817281
laudanum,アヘンチンキ,medication,医薬品,tincture of opium,,Q898739
TKM-Ebola,TKMエボラ,medication,医薬品,experimental antiviral drug for Ebola disease that failed,,Q1055750
CCK,CCK,medication,医薬品,Wikimedia disambiguation page,ウィキメディアの曖昧さ回避ページ,Q406994
saline solution,生理食塩水,medication,医薬品,saline water for medical purposes,ヒトの体液とほぼ等張に調製された塩化ナトリウムの水溶液,Q275792
asenapine,アセナピン,medication,医薬品,atypical antipsychotic medication used to treat schizophrenia and acute mania associated with bipolar disorder,,Q416545
immunoglobulin G,免疫グロブリンG,medication,医薬品,antibody isotype,,Q79448
rifamycin,リファマイシン,medication,医薬品,group of antibiotics,,Q388565
water for injection,注射用水,medication,医薬品,"very clean, sterile water",,Q1539975
hand sanitizer,手指消毒剤,medication,医薬品,alternative/supplement to hand washing. Destroys microorganisms/prevents transmission of pathogens,,Q520181
Jintan,仁丹,medication,医薬品,pharmaceutical drug,日本の口中清涼剤,Q1000106
HPV vaccine,ヒトパピローマウイルスワクチン,medication,医薬品,class of vaccines against human papillomavirus,ヒトパピローマウイルスの持続感染を予防するワクチン,Q900189
nicotine replacement therapy,禁煙グッズ,medication,医薬品,stop-smoking treatment,,Q1189783
Adderall,アデラル,medication,医薬品,medication containing an amphetamine salt mixture used mainly to treat ADHD and narcolepsy,,Q935761
corticotropin releasing hormone,副腎皮質刺激ホルモン放出ホルモン,medication,医薬品,mammalian protein found in Homo sapiens,,Q386664
Calamine lotion,カラミン,medication,医薬品,Lotion Calamine,,Q909139
capreomycin,カプレオマイシン,medication,医薬品,pharmaceutical drug,,Q415909
antivenom,抗毒,medication,医薬品,the antidote to venoms,,Q424427
digestive enzyme,消化酵素,medication,医薬品,class of enzymes,,Q419557
anti-thymocyte globulin,抗胸腺グロブリン,medication,医薬品,antibodies to prevent and treat transplant rejection,,Q584065
IUD with progestogen,IUS (産婦人科学),medication,医薬品,hormonal intrauterine device classified as a long-acting reversible contraceptive method,子宮内避妊器具を設置する際に子宮内から避妊効果のある黄体ホルモンを放出する製剤、ドラッグデリバリーシステム,Q1628262
neomycin,ネオマイシン,medication,医薬品,"antibiotic, mixture of chemical",,Q423098
ganglionic blocker,神経節遮断薬,medication,医薬品,chemical compound,,Q1431381
nabilone,ナビロン,medication,医薬品,racemate,,Q419079
prokinetic agent,消化管機能改善薬,medication,医薬品,medication to promote gastric emptying,,Q1429522
polio vaccine,ポリオワクチン,medication,医薬品,vaccine to prevent poliomyelitis,ポリオを予防するためのワクチン,Q1519099
colistin,コリスチン,medication,医薬品,chemical compound,,Q418946
sofosbuvir/velpatasvir,ベルパタスビル／ソホスブビル,medication,医薬品,pharmaceutical drug,,Q25110523
emtricitabine/tenofovir/efavirenz,エムトリシタビン／テノホビル／エファビレンツ,medication,医薬品,combination drug for HIV,,Q2869808
caffeine citrate,クエン酸カフェイン,medication,医薬品,crystalline material,,Q2974480
PCSK9 inhibitors,PCSK9阻害薬,medication,医薬品,"agents that inhibit Proprotein Convertase Subtilisin/Kexin Type 9, an enzyme that plays a role in the degradation of the LDL cholesterol receptors",,Q24228917
varicella vaccine,水痘ワクチン,medication,医薬品,vaccine to prevent chickenpox,水痘と帯状疱疹の予防に使われるワクチン,Q2721987
ethiodized oil,ヨード化ケシ油脂肪酸エチルエステル,medication,医薬品,pharmaceutical drug,,Q4205889
intravenous sodium bicarbonate,炭酸水素ナトリウム注射液,medication,医薬品,medication for metabolic acidosis,,Q17147112
platelet transfusion,血小板濃厚液,medication,医薬品,treatment for bleeding irregularities,,Q23925170
Continuous erythropoietin receptor activator,持続性エリスロポエチン受容体活性化剤,medication,医薬品,class of drugs and a variant of erythropoietin,,Q2914445
Alcohol,アルコール,medication,医薬品,as used in medicine,,Q19109595
alpha-glucosidase inhibitor,Α-グルコシダーゼ阻害剤,medication,医薬品,Diabetes mellitus type 2,,Q4734932
sebelipase alfa,セベリパーゼ　アルファ,medication,医薬品,recombinant form of the enzyme lysosomal acid lipase,ライソゾーム酸性リパーゼ欠損症治療剤,Q21789862
Daflon,ダフロン,medication,医薬品,micronized purified flavonoid fraction,,Q5208349
Nitrous oxide and oxygen,笑気麻酔,medication,医薬品,Gas used as anesthetic and for pain relief,亜酸化窒素を用いた麻酔,Q1881347
Urea-containing cream,尿素含有クリーム,medication,医薬品,dermatologic drug,,Q7900349
regular insulin,速効型インスリン,medication,医薬品,short-acting insulin formulation,,Q2893248
copper IUD,銅付加IUD,medication,医薬品,copper intrauterine device used for birth control and emergency contraception,,Q16274676
oxygen therapy,酸素吸入,medication,医薬品,use of high concentrations of oxygen as medical treatment,,Q1988216
rabies vaccine,狂犬病ワクチン,medication,医薬品,group of vaccines against infection of humans and animals with the rabies virus,狂犬病予防に使われるワクチン,Q4007169
Rho(D) immune globulin,抗Dヒト免疫グロブリン,medication,医薬品,medication used to prevent RhD isoimmunization,Rhマイナスの母親とRhプラスの特発性血小板減少性紫斑病(ITP)の患者に投与される薬剤,Q3149137
pentastarch,ペンタスターチ,medication,医薬品,pharmaceutical drug,,Q21011237
pegylated interferon,ペグ化インターフェロン-α,medication,医薬品,pharmaceutical drug,,Q7160835
inosine pranobex,イノシンプラノベクス,medication,医薬品,mixture of chemical compounds,,Q3130053
motion sickness medicine,乗り物酔い防止薬,medication,医薬品,,,Q24898081
mumps vaccine,流行性耳下腺炎ワクチン,medication,医薬品,vaccine which prevents mumps,流行性耳下腺炎の予防に使われるワクチン,Q6935478
typhoid vaccine,腸チフスワクチン,medication,医薬品,vaccines that prevent typhoid fever,腸チフスの感染を防ぐワクチン,Q7861081
Ringer's lactate solution,リンガーの乳酸溶液,medication,医薬品,electrolyte solution for infusion to treat low blood pressure or low blood volume,,Q2920739
rabies immunoglobulin,狂犬病免疫グロブリン,medication,医薬品,antiviral medication,,Q4067112
diphtheria vaccine,ジフテリアワクチン,medication,医薬品,"vaccine against Corynebacterium diphtheriae, the bacterium that causes diphtheria",ジフテリアのワクチン,Q4007175
hepatitis A vaccine,A型肝炎ワクチン,medication,医薬品,vaccine to prevent Hepatitis A,A型肝炎を予防するワクチン,Q3553093
peritoneal dialysis,腹膜透析,medication,医薬品,way to filter the blood when the kidneys are not working well,,Q1756474
tick-borne encephalitis vaccine,ダニ媒介性脳炎ワクチン,medication,医薬品,preventive medicine,ダニ媒介性脳炎予防に使われるワクチン,Q7800618
amlodipine/benazepril,アムロジピン／ベナゼプリル,medication,医薬品,antihypertensive medication,,Q4747074
efonidipine,エホニジピン,medication,医薬品,chemical compound,,Q5347555
levonorgestrel-releasing implant,ノルプラント,medication,医薬品,subdermal birth control implant,,Q3315673
Japanese encephalitis vaccine,日本脳炎ワクチン,medication,医薬品,any of several vaccines against Japanese encephalitis,日本脳炎の予防に使われるワクチン,Q4007171
ombitasvir/paritaprevir/ritonavir,オムビタスビル・パリタプレビル・リトナビル,medication,医薬品,pharmaceutical drug,,Q19858657
meningococcal vaccine,髄膜炎菌ワクチン,medication,医薬品,vaccines used to prevent infection by Neisseria meningitidis,髄膜炎菌による感染症の予防に用いられるワクチン,Q6817090
dihydroartemisinin/piperaquine,ジヒドロアーテミシニン／ピペラキン,medication,医薬品,Malaria treater,,Q17048104
pertussis vaccine,百日咳ワクチン,medication,医薬品,vaccine protecting against whooping cough,百日咳の感染を防ぐためのワクチン,Q7170955
ceftazidime/avibactam,セフタジジム／アビバクタム,medication,医薬品,pharmaceutical drug,,Q20973563
buprenorphine/naloxone,ブプレノルフィン／ナロキソン,medication,医薬品,pharmaceutical drug,,Q25048068
magnesium sulfate,硫酸マグネシウム (医薬品),medication,医薬品,magnesium sulfate or its hydrates used as medication,,Q18212318
rubella vaccine,風疹ワクチン,medication,医薬品,vaccine used to prevent rubella,風疹の予防に用いられるワクチン,Q7375928
rindopepimut,リンドペピムート,medication,医薬品,chemical compound,,Q25104603
nonacog beta pegol,ノナコグ ベータ ペゴル,medication,医薬品,drug,,Q109979623
Empagliflozin/linagliptin/metformin,エンパグリフロジン／リナグリプチン／メトホルミン,medication,医薬品,combination drug,,Q85759193
nirsevimab,ニルセビマブ,medication,医薬品,Monoclonal antibody used as vaccine against RSV,,Q111535760
efgartigimod alfa,エフガルチギモド アルファ,medication,医薬品,medication,,Q110271677
KarXT,KarXT,medication,医薬品,investigational therapeutic,,Q113561681
lolamicin,ロラマイシン,medication,医薬品,chemical compound,,Q126485641
sinecatechins,シネカテキンス,medication,医薬品,extract of green tea leaves,,Q7522394
mecasermin rinfabate,メカセルミンリンファバート,medication,医薬品,combination drug,,Q6804391
GI cocktail,GIカクテル,medication,医薬品,mixture of pharmaceutical drugs,,Q5513540
artificial saliva,人工唾液,medication,医薬品,synthetically produced liquid that mimics saliva,,Q5787021
pre-exposure prophylaxis against HIV,曝露前予防,medication,医薬品,use of drugs to prevent HIV infection in people who have not yet been exposed to HIV,,Q7239230
Fosfomycin/tobramycin,合剤,medication,医薬品,formulation of fosfomycin and tobramycin,,Q5473336
artificial tears,人工涙液,medication,医薬品,ophthalmic solutions used to treat conditions caused by deficient tear production,,Q1703024
recombinant factor VIIa,遺伝子組換え活性型第VII因子製剤,medication,医薬品,,,Q5940878
antianginal,狭心症治療薬,medication,医薬品,"drug used in the treatment of angina pectoris, a symptom of ischaemic heart disease",,Q2309849
quinupristin/dalfopristin,キヌプリスチン・ダルホプリスチン,medication,医薬品,combination drug,,Q1763990
liquid bandage,液体絆創膏,medication,医薬品,topical skin treatment for minor cuts and sores,,Q2314345
Fioricet,フィオリセット,medication,医薬品,pharmaceutical product,,Q5451187
xenon-133,キセノン133,medication,医薬品,isotope of xenon,キセノンの同位体,Q2451397
antimycobacterial,抗酸菌症治療薬,medication,医薬品,"drug used to treat or prevent infections caused by Mycobacteria, a genus of actinobacteria",,Q2853298
elixir,秘薬,medication,医薬品,"clear, sweet-flavored liquid used for medicinal purposes",,Q7005626
Sacubitril/valsartan,サクビトリル/バルサルタン,medication,医薬品,chemical compound,,Q6457467
testosterone,テストステロン,medication,医薬品,medication and naturally occurring steroid hormone,,Q27863114
andexanet alfa,アンデキサネット アルファ,medication,医薬品,antidote of direct oral anticoagulants Apixaban and Rivaroxaban,,Q7120529
topical steroid,ステロイド外用薬,medication,医薬品,medication for skin,,Q2172867
hydrazine,ヒドラジン,medication,医薬品,antidepressant,,Q5954496
sitagliptin/metformin,シタグリプチン／メトホルミン,medication,医薬品,pharmaceutical drug,,Q7531599
glucagon-like peptide-1 agonist,グルカゴン様ペプチドアナログ,medication,医薬品,agonist of the GLP-1 receptor used in the treatment of type 2 diabetes and obesity,,Q5572286
ear drop,点耳剤,medication,医薬品,form of medicine used to treat or prevent ear infections,外耳または中耳に投与する外用薬,Q2046403
Excedrin,エキセドリン,medication,医薬品,over-the-counter headache pain reliever,解熱鎮痛剤,Q5419382
Dopamine,ドーパミン,medication,医薬品,hormone used as a medication,,Q28163580
ethambutol/isoniazid,エタンブトール／イソニアジド,medication,医薬品,medication for tuberculosis,,Q28163592
prolactin,プロラクチン,medication,医薬品,protein family,ホルモンの一つ,Q66590068
cerebrolysin,セレブロリシン,medication,医薬品,medication indicated in the treatment of cerebrovascular disorders,,Q19946892
sucroferric oxyhydroxide,スクロオキシ水酸化鉄,medication,医薬品,pharmaceutical drug,,Q18386075
medical uses of silver,銀の医療用途,medication,医薬品,"uses of silver to establish the diagnosis, prognosis, treatment, and prevention of disease",,Q19272800
eftrenonacog alfa,エフトレノナコグ アルファ,medication,医薬品,,,Q28856155
Moenomycin family antibiotics,モエノマイシン系抗生物質,medication,医薬品,antibiotic Family,,Q30314304
coagulation factor ix recombinant human,ノナコグ アルファ,medication,医薬品,pharmaceutical drug,,Q28852434
potassium permanganate,過マンガン酸カリウム,medication,医薬品,medication for a number of skin conditions,,Q28453504
conjugated estrogens,結合型エストロゲン,medication,医薬品,complex mixture of sodium estrone sulfate and sodium equilin sulfate derived synthetically from estrone and equilin from horse urine,,Q4118295
Tylenol,タイレノール,medication,医薬品,consumer drug brand owned by Johnson & Johnson,,Q3245302
atenolol/chlorthalidone,アテノロール／クロルタリドン,medication,医薬品,combination drug,高血圧の治療薬,Q7700570
Borraginol,ボラギノール,medication,医薬品,,天藤製薬が製造・販売する痔の薬のブランド,Q11338747
Kerorin,ケロリン,medication,医薬品,,日本の富山めぐみ製薬が製造販売する鎮痛薬,Q11301244
antiparkinson,抗パーキンソン病薬,medication,医薬品,agents used in the treatment of parkinson's disease,,Q3579672
volume expander,代用血漿,medication,医薬品,types of intravenous fluid,,Q3424651
abacavir/dolutegravir/lamivudine,ドルテグラビル・アバカビル・ラミブジン,medication,医薬品,drug combination for HIV,,Q18208897
respiratory quinolone,レスピラトリーキノロン,medication,医薬品,,,Q17233092
tipiracil / trifluridine,TAS-102,medication,医薬品,chemical compound,,Q15708335
ephedra,エフェドラ,medication,医薬品,medicinal preparation,,Q13530468
Insulin degludec,インスリン デグルデク,medication,医薬品,ultralong-acting basal insulin analogue,,Q16252338
Metastron,メタストロン,medication,医薬品,,,Q11343649
fluticasone furoate/vilanterol,フルチカゾンフランカルボン酸エステル・ビランテロールトリフェニル酢酸塩,medication,医薬品,pharmaceutical drug formulation,医薬品,Q17127633
seirogan,正露丸,medication,医薬品,traditional Japanese medicine,日本の胃腸薬,Q8189667
telmisartan/hydrochlorothiazide,テルミサルタン／ヒドロクロロチアジド,medication,医薬品,chemical compound,,Q7697766
neuromuscular-blocking drug,非脱分極性神経筋遮断薬,medication,医薬品,Smooth muscle relaxant are the drugs that reduces the tone of smooth muscles,,Q3286619
loteprednol etabonate,ロテプレドノール,medication,医薬品,pharmaceutical drug,,Q3837481
red ginseng,紅参,medication,医薬品,"steamed root of Panax ginseng, an herbal preparation",,Q3140118
specific substance maruyama,丸山ワクチン,medication,医薬品,,がん免疫療法のための薬剤,Q11368150
ado-trastuzumab emtansine,トラスツズマブ エムタンシン,medication,医薬品,pharmaceutical drug,,Q3997863
antigout agent,抗痛風薬,medication,医薬品,"agent that increases uric acid excretion by the kidney (uricosuric agents), decreases uric acid production (antihyperuricemics), or alleviates the pain and inflammation of acute attacks of gout",,Q17173047
Concerta,コンサータ,medication,医薬品,"pharmaceutical drug, trade name",医薬品の商品名,Q10868995
gonadotropin-releasing hormone antagonist,GnRH遮断薬,medication,医薬品,class of medications,,Q3618379
talimogene laherparepvec,タリモジェン ラヘルパレプベク,medication,医薬品,modified herpes virus used for treatment of melanoma,,Q7679524
IgA glomerulonephritis,IgA腎症,symptom,症状,disease of the kidney,,Q1146454
POEMS syndrome,クロウ・深瀬症候群,symptom,症状,paraneoplastic syndrome,,Q2553422
Alice in Wonderland syndrome,不思議の国のアリス症候群,symptom,症状,neuropsychological condition,ものの大きさに関する様々な主観的イメージの変容を引き起こす症候群,Q649340
Stevens–Johnson syndrome,スティーブンス・ジョンソン症候群,symptom,症状,skin disease,皮膚や粘膜の過敏症,Q1053948
cerebrotendinous xanthomatosis,脳腱黄色腫症,symptom,症状,autosomal recessive form of xanthomatosis.,,Q2602467
autoimmune hemolytic anemia,免疫介在性溶血性貧血,symptom,症状,autoimmune disease of blood that is characterized by deficient red blood cells caused by auto-antibodies.,,Q28814
multiple sclerosis,多発性硬化症,symptom,症状,disease that damages the myelin sheaths around nerve axons,中枢性脱髄疾患の一つ,Q8277
Weaver syndrome,ウィーバー症候群,symptom,症状,human disease,常染色体顕性型遺伝疾患,Q4348144
primary biliary cholangitis,原発性胆汁性肝硬変,symptom,症状,liver cirrhosis characterized by chronic and slow progressive destruction of intrahepatic bile ducts,,Q1072420
Alpha-thalassemia mental retardation syndrome,ATR-X症候群,symptom,症状,alpha thalassemia that has material basis in mutation in the ATRX gene on Xq21,,Q2613277
primary sclerosing cholangitis,原発性硬化性胆管炎,symptom,症状,"sclerosing cholangitis characterized by fibroobliterative inflammation of the biliary tract, leading to cirrhosis and portal hypertension",,Q1058608
George H. W. Bush vomiting incident,ブッシュ米大統領の1992年の崩壊と嘔吐,symptom,症状,when US President vomited into Japanese Prime Minister's lap,,Q5540112
sideroblastic anaemia P,鉄芽球性貧血,symptom,症状,aplastic anemia where the bone marrow produces ringed sideroblasts rather than healthy red blood cells (erythrocytes),,Q2610084
occupational burnout,燃え尽き症候群,symptom,症状,"type of work-related stress, with symptoms characterized by feelings of energy depletion or exhaustion; increased mental distance from one’s job, or feelings of negativism or cynicism related to one's job; and reduced professional efficacy",,Q327988
familial hypercholesterolemia,家族性高コレステロール血症,symptom,症状,familial hyperlipidemia characterized by very high levels of low-density lipoprotein (LDL) and early cardiovascular disease,,Q2711291
ulcerative colitis,潰瘍性大腸炎,symptom,症状,inflammatory bowel disease that causes ulcers in the colon,大腸の粘膜に潰瘍や糜爛を生じる炎症性疾患,Q1477
Korsakoff's syndrome,コルサコフ症候群,symptom,症状,mental illness caused by a lack of thiamine in the brain,健忘症・明示的記憶の障害・作話などの特徴を持つ中枢神経系障害,Q622901
congenital myasthenic syndrome,先天性筋無力症候群,symptom,症状,Human disease,,Q3508800
post-war chaos period,戦後混乱期,symptom,症状,,第二次世界大戦終戦直後の日本の政治経済が混乱した時期,Q11075191
chronic inflammatory demyelinating polyradiculoneuropathy,慢性炎症性脱髄性多発神経炎,symptom,症状,acquired immune-mediated inflammatory disorder of the peripheral nervous system,,Q1088030
3-methylglutaconic aciduria,メチルグルタコン酸尿症,symptom,症状,organic acidemia that is characterized by elevated levels of 3-methylglutaconic acid and 3-methylglutaric acid in the urine,,Q3598794
dextro-transposition of the great arteries,右旋性大血管転位,symptom,症状,congenital heart disease characterized by complete inversion of the great vessels where the aorta incorrectly arises from the right ventricle and the pulmonary artery incorrectly arises from the left ventricle,,Q3501283
primary immunodeficiency disease,原発性免疫不全症候群,symptom,症状,immune system disease that results when one or more essential parts of the immune system is missing or not working properly at birth due to a genetic mutation,,Q3043160
chorea-acanthocytosis,神経有棘赤血球症,symptom,症状,Human disease,,Q3338656
muscular dystrophy,筋ジストロフィー,symptom,症状,diseases that weaken the body's muscles,肉の筋線維の壊死と難再生を原因とした進行性の筋力低下を特徴とする遺伝性疾患に対する総称,Q1137767
Churg-Strauss syndrome,アレルギー性肉芽腫性血管炎,symptom,症状,"a systemic vasculitis realized as blood vessel inflammation, with symptoms asthma along with hay fever, rash and gastrointestinal bleeding",,Q32811
superficial siderosis of the central nervous system,脳表ヘモジデリン沈着症,symptom,症状,medical condition,,Q7643329
Ehlers-Danlos syndrome,エーラス・ダンロス症候群,symptom,症状,group of genetic connective tissue disorders,コラーゲン線維形成機構の異常を原因とする症候群,Q1141499
rheumatoid arthritis,関節リウマチ,symptom,症状,autoimmune disease which attacks healthy cells and tissue located in joints,関節炎を主体とする炎症性疾患,Q187255
persistent truncus arteriosus,総動脈幹症,symptom,症状,congenital heart defect in humans,,Q3055156
lateral sclerosis,原発性側索硬化症,symptom,症状,motor neuron disease characterized by painless but progressive weakness and stiffness of the muscles of the legs,,Q2881413
Myelopathic muscular atrophy,脊髄性筋萎縮症,symptom,症状,,,Q63869155
isovaleric acidemia,イソ吉草酸血症,symptom,症状,organic acidemia disrupting or preventing normal metabolism of the branched-chain amino acid leucine,,Q3278042
multiple carboxylase deficiency,複合カルボキシラーゼ欠損症,symptom,症状,human disease,,Q6934914
Multifocal motor neuropathy,多巣性運動ニューロパチー,symptom,症状,"Multifocal motor neuropathy (MMN) is a rare acquired immune-mediatedneuropathy characterized clinically by a purely motor deficit with conduction block and asymmetric multifocal weakness, fasciculations, and cramping",,Q6934690
Peroxisomal disease (except Adrenoleukodystrophy),ペルオキシソーム病,symptom,症状,,ヒトの疾患,Q65501350
systemic-onset juvenile idiopathic arthritis,全身型若年性特発性関節炎,symptom,症状,"Systemic inflammatory disorder, and a subtype of juvenile idiopathic arthritis, associated with fever, rash, and arthritis.",,Q17148432
hypnogogic hallucination,催眠幻覚,symptom,症状,"hallucination that occur at the onset of sleep (most commonly of the visual, auditory or tactile modality)",,Q63253280
atypical hemolytic uremic syndrome,非典型溶血性尿毒症症候群,symptom,症状,"complement deficiency that is characterized by mechanical hemolytic anemia, thrombocytopenia, and renal dysfunction",,Q17165460
diaphragmatic paralysis,横隔膜麻痺,symptom,症状,,,Q22683159
sarcoidosis,サルコイドーシス,symptom,症状,disease characterized by the growth of collections of inflammatory cells (granulomas) in multiple organs,,Q193894
syringomyelia,脊髄空洞症,symptom,症状,congenital disorder of nervous system,,Q1112977
Goodpasture syndrome,グッドパスチャー症候群,symptom,症状,hypersensitivity reaction type II disease that is characterized by glomerulonephritis located in kidney and hemorrhaging located in lung,,Q1345792
Cronkhite-Canada syndrome,クロンカイト・カナダ症候群,symptom,症状,syndrome characterized by multiple polyps of the digestive tract,胃、大腸（小腸に）に100個以上のポリープ（ポリポーシス）が発生する疾患,Q1422034
autosomal dominant polycystic kidney disease,多発性嚢胞腎,symptom,症状,congenital disorder of urinary system,,Q15443105
Osteochondritis dissecans,特発性大腿骨頭壊死症,symptom,症状,medical condition,大腿骨の骨組織が壊死し、関節が変形・破壊する病気のうち、原因の不明なもの,Q5071123
systemic scleroderma,全身性強皮症,symptom,症状,"scleroderma that is characterized by fibrosis (or hardening) of the skin and major organs, as well as vascular alterations, and autoantibodies",,Q5340515
cloacal exstrophy,総排泄腔外反症,symptom,症状,"bladder exstrophy-epispadias-cloacal exstrophy complex that is characterized by a defect in the urethra, bladder and bowel",,Q5134736
granulomatosis with polyangiitis,ウェゲナー肉芽腫症,symptom,症状,wegner granulomatosis,,Q1161568
Sjögren's syndrome,シェーグレン症候群,symptom,症状,hypersensitivity reaction type II disease affecting the exocrine glands,自己免疫疾患の一つ,Q335555
achondroplasia,軟骨無形成症,symptom,症状,osteochondrodysplasia that results in dwarfism from abnormal ossification of cartilage in long bones,,Q340594
distal muscular dystrophy,遠位型ミオパチー,symptom,症状,"group of genetic disorders characterized by progressive muscular atrophy and muscle weakness beginning in the hands, the legs, or the feet",,Q5282843
AL amyloidosis,全身性ALアミロイドーシス,symptom,症状,medical condition,,Q4652470
Atopic myelitis,アトピー性脊髄炎,symptom,症状,,,Q11283959
acute subdural hematoma,急性硬膜下血腫,symptom,症状,accumulation of blood in the subdural space with acute onset of neurological symptoms,短時間で硬膜と脳の間に血腫が形成された状態,Q11491565
adult-onset Still's disease,成人スティル病,symptom,症状,"rare from of inflammatory arthritis characterized by fevers, rash, and joint pain",16歳以上の成人に発症する全身型若年性特発性関節炎（Still病）に類似した病態を示す疾患,Q1187697
congenital dyserythropoietic anemia,先天性赤血球異形成貧血,symptom,症状,"congenital hemolytic anemia characterized by ineffective erythropoiesis, and resulting from a decrease in the number of red blood cells (RBCs) in the body and a less than normal quantity of hemoglobin in the blood",,Q5160422
congenital myopathy,先天性ミオパチー,symptom,症状,human disease,フロッピーインファント症状を引き起こす疾患群,Q112412
deathbed phenomena,死床現象,symptom,症状,range of phenomena reported by dying people,終末期の患者などが自らの死に臨み、すでに亡くなった存在やその他の事象といった、通常では見たり体験することのできない事物を感知する経験のこと,Q5247663
Makyo,魔境,symptom,症状,"""Ghost cave"": Zen Buddhist concept",,Q1758551
Cushing's syndrome,クッシング症候群,symptom,症状,adrenal gland overactivity caused by a tumor of the pituitary gland or by medication,慢性の糖質コルチコイド過剰による症候群,Q219102
Hirschsprung's disease,ヒルシュスプルング病,symptom,症状,congenital disorder of digestive system,,Q1343645
ossification of the posterior longitudinal ligament,後縦靱帯骨化症,symptom,症状,"connective tissue disease characterized by ectopic ossification of the posterior longitudinal spinal ligament resulting in spinal cord compression, myelopathy and hyperreflexia",,Q11488367
Ossification of the ligamentum flavum,黄色靭帯骨化症,symptom,症状,,脊椎の靭帯骨化症,Q11677816
Alport syndrome,アルポート症候群,symptom,症状,"monogenic disease characterized by glomerulonephritis, endstage kidney disease, and hearing loss",,Q1331116
HAM,HTLV-I関連脊髄症,symptom,症状,human disease,,Q1476361
spinal stenosis,腰部脊柱管狭窄症,symptom,症状,"bone deterioration disease that has material basis in bony spurs, disc degeneration, or thickened ligaments which results in narrowing located in spinal cord",,Q1478321
Phantom sense,VR感覚,symptom,症状,an apparent sensations reported by users of virtual reality platforms,,Q136147236
